,,,,,,
,,Bptf,,,Hptf,
,,MAE,MAE_NZ,,MAE,MAE_NZ
I_25,,1.051,8.46,,1.052,8.46
G_25,,4.294,15.969,,4.296,15.978
I_100,,0.126,4.741,,0.126,4.741
G_100,,0.51,8.554,,0.51,8.553
,,,,,,
I_25c,,0.005,2.312,,0.005,2.314
G_25c,,0.028,4.391,,0.028,4.391
I_100c,,0.001,1.622,,0.001,1.621
G_100c,,0.006,3.253,,0.006,3.245
,,,,,,
,,Bptf sto,,,Hptf,sto
,,MAE,MAE_NZ,,MAE,MAE_NZ
,,,,,,
I_25,,1.259,8.139,,1.307,8.478
G_25,,4.298,13.943,,4.332,14.054
I_100,,0.184,5.02,,0.201,5.371
G_100,,0.678,8.67,,0.687,8.914
,,,,,,
I_25c,,0.008,2.138,,0.007,2.145
G_25c,,0.038,4.038,,0.038,4.07
I_100c,,0.001,1.596,,0.001,1.593
G_100c,,0.008,3.138,,0.008,3.135
